epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1513,1.47219,3.14015,1.66414,0.4396,0.23586,0.20068,0.07478,1.84643,2.84244,2.15522,0.000367273,0.000367273,0.000367273
2,41.2797,1.50425,2.55033,1.73919,0.17852,0.4461,0.1927,0.08305,1.82713,3.36227,2.19138,0.000730304,0.000730304,0.000730304
3,59.3119,1.55981,2.4733,1.78204,0.29101,0.38201,0.26793,0.11427,1.75846,2.6204,2.18949,0.001086,0.001086,0.001086
4,76.9318,1.5293,2.41118,1.76973,0.45502,0.2872,0.26044,0.11576,1.76086,2.58246,2.11489,0.001078,0.001078,0.001078
5,94.3547,1.54295,2.37596,1.7689,0.20262,0.37845,0.17872,0.06915,1.93045,2.62207,2.13856,0.001067,0.001067,0.001067
6,112.27,1.50162,2.28486,1.74105,0.29838,0.34644,0.29602,0.13318,1.74254,2.42354,2.14228,0.00105601,0.00105601,0.00105601
7,129.614,1.49964,2.21195,1.72766,0.29755,0.38458,0.26463,0.10653,1.81427,2.40871,2.14863,0.00104501,0.00104501,0.00104501
8,147.409,1.49417,2.27242,1.7225,0.28757,0.43012,0.30476,0.13596,1.79773,2.51404,2.09442,0.00103401,0.00103401,0.00103401
9,165.535,1.46621,2.20087,1.7262,0.31564,0.42218,0.27001,0.11818,1.73109,2.3802,2.03639,0.00102301,0.00102301,0.00102301
10,183.774,1.48877,2.15685,1.71408,0.25392,0.38919,0.27354,0.12589,1.74448,2.36937,2.10064,0.00101201,0.00101201,0.00101201
11,204.022,1.46724,2.11872,1.71685,0.38649,0.42571,0.34328,0.14662,1.72066,2.26505,2.01505,0.00100101,0.00100101,0.00100101
12,223.602,1.42766,2.10913,1.70489,0.38466,0.4439,0.33775,0.14025,1.72142,2.24234,2.08619,0.000990012,0.000990012,0.000990012
13,244.797,1.4152,2.1207,1.69307,0.38563,0.43875,0.32319,0.13826,1.7818,2.24146,2.07696,0.000979013,0.000979013,0.000979013
14,267.298,1.40819,2.09846,1.68867,0.32963,0.49295,0.32927,0.15133,1.65491,2.19047,1.96325,0.000968014,0.000968014,0.000968014
15,289.962,1.37446,2.05427,1.66361,0.30137,0.46167,0.30553,0.13799,1.68193,2.25898,2.03977,0.000957015,0.000957015,0.000957015
16,310.12,1.40472,2.0434,1.68348,0.39527,0.43942,0.35823,0.16586,1.70493,2.12968,2.00807,0.000946016,0.000946016,0.000946016
17,332.853,1.38813,2.03822,1.66348,0.29735,0.50017,0.3392,0.1653,1.62059,2.21875,1.92179,0.000935018,0.000935018,0.000935018
18,354.14,1.34786,2.00296,1.63798,0.36714,0.40241,0.34864,0.16616,1.68249,2.18541,1.95832,0.000924019,0.000924019,0.000924019
19,377.075,1.36575,1.95585,1.64599,0.35304,0.47392,0.3608,0.17202,1.64432,2.03449,1.95351,0.00091302,0.00091302,0.00091302
20,401.466,1.37083,2.01044,1.66012,0.49173,0.41539,0.37295,0.17566,1.67172,2.11807,1.98666,0.000902021,0.000902021,0.000902021
21,418.808,1.35622,1.9739,1.63386,0.36531,0.42626,0.34524,0.16796,1.62487,2.10715,1.91874,0.000891022,0.000891022,0.000891022
22,436.478,1.33747,1.98949,1.64568,0.32377,0.48908,0.33659,0.16508,1.62859,2.12467,1.94071,0.000880023,0.000880023,0.000880023
23,453.865,1.36126,1.96314,1.62695,0.38274,0.49357,0.37445,0.18193,1.61981,2.06844,1.90778,0.000869024,0.000869024,0.000869024
24,471.947,1.35098,1.95554,1.63241,0.40051,0.46573,0.37314,0.18806,1.6209,2.01633,1.91131,0.000858025,0.000858025,0.000858025
